# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-154.50346710538636,-36.03,0.6450595254528232,1.5502445286704563,0.0,0.0
 0.10057195752093248,0.005057359319796124,0.05028597876046624,0.5,-154.50346710538636,-35.99902770400484,0.6450595254528232,1.5502445286704563,0.0,0.0
 0.1422285684549015,0.0101144828423653,0.12140026298791695,1.707154822080361,-154.31655548431814,-35.96805540800967,0.6434681663872548,1.5540784334592486,4.486961778155736,107.71307788980087
 0.174191961532618,0.015171419731290534,0.15821026499375973,1.1516299886042174,-154.1301127609383,-35.937083112014506,0.6418584045775135,1.557976016000326,5.8330078701760595,42.11211521716472
 0.20113785689771924,0.02022821873870369,0.18766490921516873,1.0931031914996956,-153.94414242815628,-35.90611081601934,0.6402305352683578,1.5619373724198298,6.901620089524336,39.657699433223584
 0.224877425300641,0.025284928204922688,0.21300764109918013,1.0675312816930707,-153.7586479214898,-35.87513852002417,0.6385848542016263,1.5659626021826394,7.813727002874275,38.42137724954094
 0.24633958698560462,0.030341596058119136,0.2356085061431229,1.0530563218977573,-153.57363261909927,-35.84416622402901,0.636921656975979,1.5700518094295453,8.62053436677548,37.592083022394355
 0.2660761913965138,0.035398269814037125,0.25620788919105947,1.0437146440727425,-153.38909984192173,-35.81319392803385,0.6352412407635029,1.5742050985198788,9.349773311337234,36.94855150254104
 0.28444681954889395,0.04045499657574052,0.27526150547270345,1.0371782675909929,-153.2050528534254,-35.78222163203868,0.6335439019897857,1.5784225794917721,10.018546288657047,36.40446977493051
 0.3017012530083508,0.04551182303340446,0.2930740362786225,1.032345156262218,-153.02149485994093,-35.751249336043514,0.6318299382239323,1.5827043631566273,10.638308925979228,35.91903720156632
 0.3180213686661486,0.05056879546414521,0.3098613108372499,1.0286247297889946,-152.8384290104143,-35.72027704004835,0.6300996464393214,1.5870505651780271,11.217190696757799,35.470445364275285
 0.33354447898859274,0.0556259597318859,0.325782923827371,1.0256715735055246,-152.65585839669117,-35.68930474405318,0.6283533241507903,1.591461303004141,11.761213437950104,35.04598820029831
 0.3483772704619553,0.0606833612872612,0.34096087472527437,1.0232700247394855,-152.47378605349698,-35.65833244805802,0.6265912686026259,1.595936697665961,12.27498839454145,34.637779241621885
 0.36260459226975184,0.06574104516755651,0.35549093136585413,1.0212784132441117,-152.29221495851988,-35.627360152062856,0.6248137773177715,1.6004768721535634,12.762141563256492,34.240679679297365
 0.37629524577568435,0.07079905599669135,0.3694499190227171,1.0195998058685947,-152.11114803248768,-35.596387856067686,0.6230211467646197,1.6050819545902262,13.225586781065966,33.85121226014909
 0.389505938299354,0.07585743798523009,0.38290059203751975,1.0181656253601408,-151.93058813942153,-35.56541556007252,0.6212136740240676,1.6097520737466207,13.667708391717067,33.46695185426114
 0.40228406612848977,0.08091623493043558,0.3958950022139217,1.0169259808759323,-151.75053808655522,-35.53444326407736,0.619391655023496,1.6144873633501988,14.090487689108908,33.08616904174729
 0.4146697245190567,0.08597549021635521,0.4084768953237741,1.0158437051222837,-151.5710006246843,-35.50347096808219,0.6175553856938664,1.6192879588871703,14.495592903455817,32.707604357588444
 0.4266971919615691,0.09103524681394409,0.4206834582403131,1.0148905390833636,-151.39197844816007,-35.47249867208703,0.6157051612324431,1.6241539992913534,14.884444907448769,32.330331040308
 0.4383960476127242,0.09609554728122902,0.4325466197871475,1.0140446126167053,-151.2134741951733,-35.441526376091865,0.6138412761418311,1.6290856266383509,15.258266133847602,31.95365748118483
 0.44979202697133175,0.10115643376348964,0.44409403729202673,1.0132887346937267,-151.03549044786027,-35.410554080096695,0.6119640242694288,1.634082985832074,15.618117733654502,31.577066655100364
 0.4609076870556581,0.10621794799349826,0.4553498570134958,1.0126092050386044,-150.85802973252,-35.37958178410153,0.6100736984987526,1.6391462252196152,15.964928217846733,31.200169990917008
 0.47176293048897006,0.11128013129177042,0.46633530877231305,1.0119949705693134,-150.68109451985848,-35.34860948810637,0.6081705909652539,1.6442754958158312,16.299515874380806,30.822676487134892
 0.4823754234346284,0.11634302456686856,0.4770691769617996,1.0114370152658494,-150.50468722512045,-35.3176371921112,0.6062549927470151,1.6494709519320878,16.622606548839446,30.444371187150843
 0.4927609325336735,0.12140666831572777,0.48756817798415036,1.01092791140264,-150.3288102084208,-35.28666489611604,0.6043271939956129,1.6547327506285603,16.934847875279967,30.065095842940448
 0.5029335992435093,0.12647110262401542,0.4978472658885894,1.0104614844503155,-150.15346577486252,-35.255692600120874,0.6023874834490065,1.6600610528532875,17.236820841553786,29.68473998876285
 0.5129061652320487,0.1315363671665228,0.507919882237779,1.0100325593999753,-149.97865617493568,-35.22472030412571,0.6004361490926494,1.665456021445665,17.52904920636533,29.30322698765536
 0.5226901590954249,0.13660250120760034,0.5177981621637398,1.0096367663247912,-149.80438360463347,-35.19374800813054,0.5984734771412683,1.6709178237550406,17.81200731886805,28.92051205815863
 0.5322960522145573,0.14166954360160142,0.5274931056549926,1.0092703896468633,-149.63065020585228,-35.16277571213538,0.59649975306003,1.6764466286365132,18.0861265711112,28.53657112811048
 0.5417333897654494,0.1467375327933822,0.5370147209900042,1.0089302500482884,-149.45745806653318,-35.131803416140215,0.5945152601833716,1.6820426101283945,18.351800853274394,28.151401889623166
 0.5510109015596966,0.15180650681881486,0.5463721456625729,1.0086136110730664,-149.28480922110796,-35.100831120145045,0.5925202812798287,1.6877059428919894,18.609391101206413,27.765014331940122
 0.560136596385813,0.15687650330534167,0.5555737489727562,1.0083181045951342,-149.11270565065988,-35.06985882414988,0.5905150967185688,1.6934368072161006,18.85922921239688,27.377434370856687
 0.569117842757629,0.1619475594725487,0.5646272195717197,1.0080416708502868,-148.94114928335176,-35.03888652815472,0.5884999856797564,1.6992353854434403,19.101621334702287,26.98869536260093
 0.577961438389761,0.1670197121327808,0.5735396405736954,1.0077825098191615,-148.77014199466143,-35.00791423215955,0.5864752259363852,1.7051018624075174,19.33685073399251,26.598841588318628
 0.5866736702661454,0.17209299769177497,0.5823175543279517,1.0075390415227543,-148.5996856077324,-34.97694193616439,0.5844410930885822,1.7110364274957524,19.565180237120025,26.20792310939617
 0.5952603668132679,0.17716745214933313,0.5909670185397038,1.0073098733936943,-148.42978189374784,-34.945969640169224,0.5823978612449777,1.717039272538406,19.786854356871668,25.815995538578516
 0.6037269434106944,0.18224311110000996,0.5994936551119834,1.0070937732815515,-148.26043257224555,-34.914997344174054,0.5803458028027094,1.7231105922893242,20.00210115074827,25.42312012413978
