# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,129.59590792256944,-45.0,-0.05011735753163108,-19.953166911660492,0.0,0.0
 0.18606951676478362,0.017310932534540045,0.09303475838239181,0.5,129.59590792256944,-44.96136042768623,-0.05011735753163108,-19.953166911660492,0.0,0.0
 0.2626256584236671,0.034486118231232335,0.22434758759422543,1.7152487882282959,129.54639425146382,-44.92272085537246,-0.0515522426383053,-19.397798210566332,-0.6467628858075647,-8.448216848354127
 0.3210177884318846,0.051526210244849116,0.2918217234277758,1.1555347582637374,129.49586297334145,-44.88408128305869,-0.05302708660842579,-18.858286659880424,-0.8653782301704278,-3.743917961754392
 0.36995097574179714,0.06843186222615388,0.34548438208684074,1.0966516102701194,129.44429551230905,-44.84544171074492,-0.05454304032720581,-18.334144814828093,-1.0538340923064442,-3.851289329314553
 0.4128043806345564,0.08520372833553984,0.39137767818817654,1.0709369819313983,129.39167294015436,-44.80680213843115,-0.05610128923561312,-17.824902308398283,-1.2279671192139796,-4.0634583726381575
 0.45131466463437564,0.10184246325701946,0.43205952263446584,1.0563891049590868,129.33797596984263,-44.76816256611738,-0.057703053544796164,-17.330105402891334,-1.394354046103567,-4.320584259788064
 0.48651561580811903,0.11834872221257661,0.4689151402212472,1.0470062983488977,129.28318494891687,-44.72952299380361,-0.05934958954016605,-16.849316191533717,-1.5565210341990185,-4.60689221990152
 0.5190821919058324,0.1347231609768817,0.5027989038569765,1.040445993894593,129.22727985286838,-44.69088342148984,-0.06104219005761368,-16.382112094211664,-1.716640271939433,-4.916673992991763
 0.5494841870197613,0.15096643589238398,0.5342831894627958,1.0355993245783597,129.17024027837252,-44.652243849176074,-0.0627821860355659,-15.928085069123005,-1.876178661370705,-5.247628941239385
 0.5780643629991308,0.16707920388479536,0.5637742750094451,1.0318720769227359,129.11204543652246,-44.613604276862304,-0.06457094807410274,-15.486840906414795,-2.036196064435192,-5.598894953620841
 0.6050820150673268,0.18306212247896828,0.5915731890332274,1.0289167228008655,129.05267414589784,-44.574964704548535,-0.06640988613768116,-15.05799901428527,-2.197500007578409,-5.970316840858873
 0.6307390107091363,0.19891584981516988,0.6179105128882317,1.0265162851758929,128.99210482563265,-44.53632513223477,-0.0683004516836265,-14.641191607810809,-2.3607331548397013,-6.362130217432604
 0.6551962220064851,0.21464104466578554,0.6429676163578102,1.024528232795482,128.93031548836288,-44.497685559921,-0.070244139068385,-14.236063154343265,-2.5264261128762975,-6.774809933238709
 0.6785843594608371,0.23023836645243714,0.6668902907336605,1.0228550444660924,128.86728373317405,-44.45904598760723,-0.07224248522675965,-13.842270194071144,-2.6950309879041,-7.2089911117068795
 0.7010113768884741,0.24570847526353706,0.689797868174656,1.0214277272895993,128.8029867384312,-44.42040641529346,-0.07429707282553015,-13.459480460936511,-2.86694362949949,-7.665425960009278
