# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-132.35215180233348,-28.29,0.557968156826803,1.7922169711028986,0.0,0.0
 0.14167226597850266,0.010035515473741801,0.07083613298925133,0.5,-132.35215180233348,-28.096615621053697,0.557968156826803,1.7922169711028986,0.0,0.0
 0.20045621021292298,0.020091346106463782,0.17106423809571278,1.7050251801200835,-132.03099904512442,-27.903231242107395,0.5528720412343238,1.8087367879327616,5.463273371524437,92.9381898863036
 0.24563201933273832,0.030167544460739368,0.22304411477283076,1.150613075667486,-131.7121351313029,-27.709846863161093,0.547826536943414,1.8253953260086264,7.058288939016524,35.306851134902395
 0.28377511626521956,0.04026415830566944,0.2647035677989789,1.092188531515712,-131.39554111632717,-27.51646248421479,0.5428319640228024,1.8421907077638369,8.300165441105122,32.55835529786419
 0.31743103403446676,0.0503812306840954,0.3006030751498431,1.066662558335195,-131.08119788448167,-27.32307810526849,0.5378886005993866,1.859121012948904,9.339909670587621,30.893355415568465
 0.34790458456118767,0.06051879997934628,0.33266780929782697,1.0522152356309038,-130.76908616334134,-27.129693726322188,0.5329966848166466,1.8761842774763313,10.242053050781644,29.60414407251209
 0.3759704775152128,0.07067689998150856,0.3619375310382003,1.0428929444119317,-130.45918653765187,-26.93630934737589,0.528156416228589,1.8933784940845906,11.041858749946655,28.497425700125667
 0.40213321164305016,0.08085555995317707,0.38905184457913117,1.0363715584328397,-130.1514794628529,-26.742924968429588,0.5233679574679435,1.9107016119939868,11.761273622834276,27.49769459768179
 0.42674302500380856,0.09105480469470056,0.41443811832342886,1.0315508440538357,-129.84594527807013,-26.549540589483286,0.5186314358926952,1.9281515365121442,12.415136202128522,26.56918074546895
 0.4500547846848777,0.10127465460887577,0.4383989048443427,1.027841177531173,-129.5425642185879,-26.356156210536984,0.5139469451600013,1.9457261287712906,13.01407802897797,25.69269051515804
